program_id,sample_id,task_clock,context_switches,page_faults,instructions,branches,branch_misses,L1_dcache_loads,LLC_loads,LLC_load_misses,L1_icache_loads,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
ADD_10,0,6158.05,36,221,26936021607,5736998417,6226314,5656327686,14813764,4720,3997758998,3804574,5657683505,151438,26942942287,61532
ADD_10,1,6130.84,41,221,26943438931,5739292842,6232394,5656981287,10559849,854,3992334582,3624575,5659267323,145628,26951159795,61338
ADD_10,2,6153.22,21,222,26939844461,5737639341,6218505,5654756149,13601793,3574,3994933038,3404162,5660329885,143331,26954539016,89852
ADD_10,3,6145.93,37,220,26940558999,5736963078,6225922,5655523010,10897921,2981,3996133042,3380383,5660544825,146738,26960437462,58594
ADD_10,4,6137.80,33,216,26932472028,5736576700,6231218,5658602436,10346738,565,3994569961,3440428,5658360823,140095,26939737816,57065
ADD_10,5,6139.00,30,222,26941851670,5737564774,6228525,5655317953,11629081,331,3993531309,3226641,5659114795,137338,26954188868,89356
ADD_10,6,6143.87,23,221,26935065378,5737939067,6224457,5655996179,10282682,445,3995385548,3104697,5659695514,139961,26949274805,90714
ADD_10,7,6130.44,25,217,26942218639,5739084572,6222641,5657041604,10816656,87,3991443157,3137717,5659017198,138337,26952461710,60579
ADD_10,8,6128.11,30,224,26944995121,5737904675,6221559,5653977526,12682330,646,3995692524,3274888,5662342292,141295,26962475375,58713
ADD_10,9,6121.31,14,220,26940589097,5737933765,6217266,5654036007,10280404,256,3994888691,3355159,5660838481,141860,26958368046,58101
ADD_10,10,6145.77,27,221,26944664343,5738581259,6222050,5655382775,13064456,3744,3994767342,3707616,5659565642,144061,26953095978,59284
ADD_10,11,6127.75,38,218,26941333294,5737177951,6227598,5653980305,11081149,405,3994335037,3398320,5661804223,140570,26963890187,58587
ADD_10,12,6131.89,23,221,26941156710,5738276979,6214205,5655449851,11216251,292,3996182257,3499400,5658300993,142221,26947963518,90778
ADD_10,13,6140.51,58,217,26945007306,5739220002,6242259,5655530933,11568640,2043,3992194910,3216991,5660350071,143061,26955830719,56780
ADD_10,14,6138.81,27,217,26938677904,5735767796,6220738,5653018784,9853578,351,3996617842,3449135,5662011865,141016,26960130634,57462
