program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns
SUB_5,10,660,1459450,37.06
SUB_10,1,671,1454400,35.99
SUB_10,2,669,1469550,41.65
SUB_10,3,710,1398850,41.76
SUB_10,4,670,1449350,36.87
SUB_10,5,670,1459450,43.95
SUB_10,6,698,1429150,38.26
SUB_10,7,670,1479650,40.12
SUB_10,8,677,1454400,35.6
SUB_10,9,692,1424100,45.15
SUB_10,10,668,1489750,35.76
SUB_25,1,722,1393800,29.69
SUB_25,2,703,1373600,36.52
SUB_25,3,699,1403900,39.92
SUB_25,4,691,1398850,38.35
SUB_25,5,698,1388750,43.05
SUB_25,6,705,1419050,37.81
SUB_25,7,693,1398850,42.71
SUB_25,8,708,1388750,37.95
SUB_25,9,692,1398850,48.17
SUB_25,10,747,1287750,25.17
SUB_15,1,686,1429150,39.56
SUB_15,2,677,1424100,37.76
SUB_15,3,696,1388750,38.04
SUB_15,4,676,1434200,36.45
SUB_15,5,679,1459450,40.97
SUB_15,6,695,1444300,34.92
SUB_15,7,715,1419050,37.04
SUB_15,8,687,1449350,43.4
SUB_15,9,686,1454400,32.37
SUB_15,10,679,1414000,34.97
SUB_35,1,719,1373600,50.56
SUB_35,2,695,1368550,36.79
SUB_35,3,714,1368550,44.04
SUB_35,4,715,1353400,39.37
SUB_35,5,716,1368550,41.84
SUB_35,6,734,1358450,41.42
SUB_35,7,712,1363500,41.6
SUB_35,8,726,1363500,41.01
SUB_35,9,733,1358450,41.12
SUB_35,10,712,1368550,33.53
SUB_20,1,692,1459450,41.69
SUB_20,2,683,1434200,44.66
SUB_20,3,693,1393800,39.38
SUB_20,4,660,1444300,41.11
SUB_20,5,700,1363500,39.04
SUB_20,6,675,1434200,46.27
SUB_20,7,695,1429150,38.97
SUB_20,8,676,1419050,35.76
SUB_20,9,680,1408950,38.2
SUB_20,10,692,1393800,41.42
SUB_0,1,624,1550350,58.8
SUB_0,2,628,1469550,40.47
SUB_0,3,641,1530150,54.69
SUB_0,4,609,1494800,37.99
SUB_0,5,634,1484700,48.82
SUB_0,6,632,1530150,44.76
SUB_0,7,642,1595800,59.65
SUB_0,8,633,1595800,43.72
SUB_0,9,646,1489750,49.34
SUB_0,10,619,1600850,52.13
SUB_50,1,730,1307950,46.61
SUB_50,2,763,1272600,45.47
SUB_50,3,750,1368550,44.86
SUB_50,4,763,1292800,37.07
SUB_50,5,713,1348350,33.79
SUB_50,6,729,1348350,44.98
SUB_50,7,722,1287750,44.55
SUB_50,8,744,1353400,48.03
SUB_50,9,718,1358450,34.53
SUB_50,10,737,1287750,44.05
SUB_30,1,725,1343300,42.89
SUB_30,2,705,1398850,46.41
SUB_30,3,711,1378650,39.67
SUB_30,4,737,1353400,40.98
