program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns,mem_allocs,mem_alloc_bytes
ADD_10,10,12161.272084805654,283,1081.0054963570485,1,38592
ADD_25,1,14696.253472222223,288,1560.6079340056172,1,38592
ADD_25,2,13165.882246376812,276,977.2848294646982,1,38592
ADD_25,3,14044.362007168458,279,1490.8507185101691,1,38592
ADD_25,4,12991.824137931035,290,1105.6842071094852,1,38592
ADD_25,5,14298.794326241135,282,1710.7682911954682,1,38592
ADD_25,6,13411.001766784453,283,1263.534007783983,1,38592
ADD_25,7,14255.087328767124,292,1842.005980643246,1,38592
ADD_25,8,14564.159169550174,289,1603.5954704695375,1,37296
ADD_25,9,13241.450342465754,292,1075.0411053117214,1,38592
ADD_25,10,14221.109154929578,284,1241.3733185300434,1,38592
ADD_15,1,12534.629963898917,277,1181.1753125246703,1,38592
ADD_15,2,13964.101785714285,280,1560.9625790819875,1,38592
ADD_15,3,13106.38078291815,281,1008.6209082848644,1,38592
ADD_15,4,12702.405172413793,290,1091.9585799308381,1,38592
ADD_15,5,12887.832167832168,286,1238.7138405423077,1,38592
ADD_15,6,12236.434027777777,288,1070.4535571112615,1,38592
ADD_15,7,12818.587108013937,287,920.2805797866848,1,38592
ADD_15,8,13886.111510791367,278,1446.7587682018136,1,38592
ADD_15,9,12162.471929824562,285,973.5578857755556,1,38592
ADD_15,10,12958.478647686832,281,1025.9682288868926,1,38592
ADD_35,1,13152.353046594983,279,948.6048113093492,1,38592
ADD_35,2,14856.185314685315,286,1793.2956544124177,1,38592
ADD_35,3,15323.375899280576,278,1690.1305991326935,1,38592
ADD_35,4,13988.840830449826,289,1065.7037836276065,1,38592
ADD_35,5,14570.092334494773,287,1419.043461443486,1,38592
ADD_35,6,13558.328621908127,283,1158.1192313557522,1,38592
ADD_35,7,13829.996389891698,277,1151.6135867763064,1,38592
ADD_35,8,13433.800711743772,281,1055.074061956684,1,38592
ADD_35,9,13615.67730496454,282,1198.0951951180482,1,38592
ADD_35,10,14058.486206896552,290,1164.0671049052914,1,38592
ADD_20,1,13191.741379310344,290,980.5810642375995,1,38592
