program_id,sample_id,total_time_ns,iterations_count,margin_of_error
MUL_35,1,87905.73629637384,1138,±4.74%
MUL_35,2,87500.8784149784,1143,±4.62%
MUL_35,3,90093.49926097972,1110,±4.56%
MUL_35,4,87540.61401046794,1143,±4.69%
MUL_35,5,88265.21278374613,1133,±4.73%
MUL_35,6,88830.0094468979,1126,±4.88%
MUL_35,7,89859.91362291526,1113,±6.28%
MUL_35,8,89060.80971205755,1123,±5.04%
MUL_35,9,87236.76526868665,1147,±4.56%
MUL_35,10,91701.3432321802,1091,±5.78%
MUL_20,1,84994.24236754594,1177,±4.58%
MUL_20,2,86023.22080682703,1163,±4.85%
MUL_20,3,88000.75131754341,1137,±4.60%
MUL_20,4,87458.59719656564,1144,±5.03%
MUL_20,5,85359.4171309227,1172,±4.58%
MUL_20,6,86741.81551904339,1153,±4.93%
MUL_20,7,88482.06834599152,1131,±4.19%
MUL_20,8,86242.74812895677,1160,±4.62%
MUL_20,9,86869.41862106323,1152,±5.06%
MUL_20,10,90453.34966014564,1106,±5.71%
MUL_0,1,83454.84793235899,1199,±5.08%
MUL_0,2,84353.19125350771,1186,±5.15%
MUL_0,3,83305.07302264389,1201,±4.83%
MUL_0,4,81803.4848129759,1223,±4.87%
MUL_0,5,82147.31952435474,1218,±4.96%
MUL_0,6,84052.14197495404,1190,±4.55%
MUL_0,7,80845.04876102087,1237,±4.28%
MUL_0,8,81313.987669906,1230,±4.76%
MUL_0,9,86660.57355275807,1154,±5.67%
MUL_0,10,81659.68914421236,1225,±3.88%
MUL_50,1,89810.75321108477,1114,±4.38%
MUL_50,2,90979.47436258546,1106,±4.80%
MUL_50,3,91167.7733484788,1097,±4.72%
MUL_50,4,91202.92976539355,1097,±3.83%
MUL_50,5,89655.53092272906,1116,±4.42%
MUL_50,6,89972.95571745728,1112,±4.54%
MUL_50,7,93598.73244425646,1069,±5.10%
MUL_50,8,89385.42724827553,1119,±2.85%
MUL_50,9,90587.05620143724,1104,±4.72%
MUL_50,10,92771.39922019944,1078,±5.23%
MUL_30,1,86587.0289988332,1155,±4.53%
MUL_30,2,87383.62550527972,1149,±4.93%
MUL_30,3,89485.2708192119,1118,±4.81%
MUL_30,4,85812.62264611585,1166,±4.09%
MUL_30,5,88445.76295132558,1131,±4.85%
MUL_30,6,87874.95725393714,1138,±4.86%
MUL_30,7,89380.29325892607,1119,±4.20%
MUL_30,8,88347.70121759747,1132,±4.93%
MUL_30,9,87233.21996155051,1147,±4.82%
MUL_30,10,91635.42108221368,1092,±7.07%
SUB_40,1,87451.53467138331,1144,±4.71%
SUB_40,2,86786.27510434735,1153,±4.71%
SUB_40,3,90602.4946682695,1104,±5.23%
SUB_40,4,85648.36684971639,1168,±4.00%
SUB_40,5,88061.55433117504,1136,±5.10%
SUB_40,6,88605.30126823377,1129,±5.01%
SUB_40,7,90183.1101468278,1109,±6.38%
SUB_40,8,86375.47863579784,1158,±4.69%
SUB_40,9,87812.1244813349,1141,±5.04%
SUB_40,10,90958.27969637784,1100,±5.66%
SUB_45,1,89412.44035027089,1119,±5.08%
SUB_45,2,88148.14899461385,1135,±4.65%
SUB_45,3,92016.34467580281,1087,±5.06%
SUB_45,4,88059.41863798759,1136,±4.41%
SUB_45,5,87721.02489806058,1140,±4.67%
SUB_45,6,88473.85882066478,1131,±4.89%
SUB_45,7,90367.21468187176,1107,±5.02%
SUB_45,8,87589.29063893868,1142,±4.55%
SUB_45,9,88159.54939384293,1135,±4.76%
SUB_45,10,88353.26150954822,1132,±4.70%
SUB_5,1,83777.66569255784,1194,±4.88%
SUB_5,2,84118.41236111293,1189,±4.76%
SUB_5,3,87077.44707949167,1149,±5.14%
SUB_5,4,84618.62167126032,1182,±5.13%
SUB_5,5,83693.5386498104,1195,±4.76%
SUB_5,6,86519.95411381178,1156,±5.05%
SUB_5,7,83225.63107914219,1202,±4.51%
SUB_5,8,84756.31455243645,1180,±5.07%
SUB_5,9,85829.87919946937,1169,±5.15%
SUB_5,10,87311.37021049779,1146,±7.24%
SUB_10,1,82785.53059558995,1208,±5.07%
SUB_10,2,83391.31037394205,1200,±5.02%
SUB_10,3,84692.40994497844,1181,±5.11%
SUB_10,4,84653.69623122885,1182,±5.27%
SUB_10,5,82908.92113509412,1207,±4.93%
SUB_10,6,85843.8581867791,1165,±6.17%
SUB_10,7,80907.70437493679,1236,±4.02%
SUB_10,8,82532.08324067268,1212,±4.84%
SUB_10,9,83701.4170371339,1195,±5.16%
SUB_10,10,84437.9344569983,1185,±5.18%
SUB_25,1,86702.85256318038,1154,±4.63%
SUB_25,2,87513.2269538085,1143,±4.79%
SUB_25,3,91715.91670441038,1091,±7.63%
SUB_25,4,86933.59003804436,1151,±4.64%
SUB_25,5,87652.28164499,1141,±4.95%
SUB_25,6,88291.64967953581,1133,±5.02%
SUB_25,7,90093.40303438203,1110,±5.87%
SUB_25,8,86669.44586424936,1154,±4.53%
SUB_25,9,88163.59599781457,1135,±4.98%
SUB_25,10,92876.39536454706,1077,±7.63%
SUB_15,1,85062.25404285248,1176,±4.74%
SUB_15,2,85501.70507186498,1170,±4.81%
SUB_15,3,88314.33584915254,1133,±4.75%
SUB_15,4,84435.44283194885,1185,±4.47%
SUB_15,5,86417.42054044892,1158,±5.07%
SUB_15,6,86477.93736951106,1160,±5.12%
SUB_15,7,86091.78185257773,1162,±3.94%
SUB_15,8,85407.07821532995,1173,±4.89%
SUB_15,9,84758.22836665783,1180,±4.68%
SUB_15,10,87843.2879226055,1139,±5.04%
SUB_35,1,91141.25430692523,1098,±4.75%
SUB_35,2,90870.57226252057,1101,±4.66%
SUB_35,3,94881.2278443541,1054,±5.78%
SUB_35,4,90525.38979646847,1105,±3.84%
SUB_35,5,90958.34905450995,1100,±4.74%
SUB_35,6,90203.38411047397,1109,±4.52%
SUB_35,7,95497.7428640118,1048,±7.86%
SUB_35,8,88814.79808746393,1126,±3.65%
SUB_35,9,89898.59527012086,1113,±4.51%
SUB_35,10,90643.48884250807,1104,±4.49%
SUB_20,1,84621.22289460726,1182,±4.52%
SUB_20,2,85255.96026772632,1173,±4.74%
SUB_20,3,87733.84094238281,1140,±4.66%
SUB_20,4,85625.89018312219,1168,±4.57%
SUB_20,5,85168.71026221741,1175,±4.76%
SUB_20,6,90282.56412877933,1108,±6.17%
SUB_20,7,83380.03158569336,1200,±3.32%
SUB_20,8,85123.36243974401,1175,±4.64%
SUB_20,9,86593.22499196767,1155,±5.05%
SUB_20,10,88816.97985037605,1126,±4.73%
SUB_0,1,81264.46176214397,1231,±4.66%
SUB_0,2,87853.36890484388,1139,±6.91%
SUB_0,3,81214.37221378474,1232,±3.55%
SUB_0,4,81343.22127675623,1230,±4.82%
SUB_0,5,84225.24037987295,1188,±5.51%
SUB_0,6,83739.28947927563,1195,±4.71%
SUB_0,7,82684.66035196603,1210,±4.98%
SUB_0,8,84037.06052647895,1197,±5.36%
SUB_0,9,85059.12054152717,1176,±5.42%
SUB_0,10,80857.75413914082,1237,±3.47%
SUB_50,1,89505.23826858439,1118,±4.68%
SUB_50,2,90954.36096191406,1100,±5.03%
SUB_50,3,94169.91814284088,1063,±5.68%
SUB_50,4,89724.43721754133,1115,±3.89%
SUB_50,5,89795.7272760744,1114,±4.76%
SUB_50,6,90338.10306263056,1107,±4.89%
SUB_50,7,96025.40468300144,1042,±7.92%
SUB_50,8,86396.60112186623,1158,±3.63%
SUB_50,9,89544.59167316543,1117,±4.74%
SUB_50,10,90699.48723828478,1103,±5.04%
SUB_30,1,87087.51336505248,1149,±4.94%
SUB_30,2,89549.94659287223,1117,±5.64%
SUB_30,3,89971.96087734305,1112,±5.03%
SUB_30,4,85091.23406442655,1176,±4.09%
SUB_30,5,87437.85644744661,1144,±5.10%
SUB_30,6,88351.51591486309,1132,±5.24%
SUB_30,7,88916.83620876736,1125,±5.34%
SUB_30,8,85308.50747865383,1173,±4.53%
SUB_30,9,84995.34431917746,1177,±4.42%
SUB_30,10,89371.36843547532,1119,±5.27%
DIV_40,1,89607.89506153394,1116,±5.05%
DIV_40,2,89995.19897021836,1112,±5.09%
DIV_40,3,93383.76769164696,1071,±5.86%
DIV_40,4,87647.2332726227,1141,±3.26%
DIV_40,5,90644.77422963017,1104,±5.10%
DIV_40,6,90227.71011503889,1109,±5.11%
DIV_40,7,93238.2901805867,1073,±5.58%
DIV_40,8,86886.79951154906,1151,±3.88%
DIV_40,9,89238.17616717078,1121,±4.88%
DIV_40,10,91496.90647247399,1093,±5.32%
DIV_45,1,91679.42008657481,1091,±5.08%
DIV_45,2,89463.26295037176,1118,±4.64%
DIV_45,3,89949.24421790692,1112,±4.78%
DIV_45,4,93317.90013099785,1072,±6.21%
DIV_45,5,89115.47231971422,1123,±4.47%
DIV_45,6,89509.48971115412,1118,±4.63%
DIV_45,7,93315.98317051286,1084,±5.53%
DIV_45,8,87490.69253916503,1143,±3.17%
DIV_45,9,89095.13179680544,1123,±4.59%
DIV_45,10,89324.24272809709,1120,±4.61%
DIV_5,1,82494.08945207839,1213,±4.97%
DIV_5,2,86098.93851354076,1162,±5.75%
