op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
PUSH4,17.1318181818182,1.56163940487361,besu
PUSH5,20.08,1.14820801013017,besu
PUSH6,20.4063636363636,1.38258720626227,besu
PUSH7,23.1590909090909,1.72498506135318,besu
PUSH8,24.9318181818182,1.34323031411879,besu
PUSH9,27.7945454545455,1.47268125629568,besu
PUSH10,28.7827272727273,1.53372611450242,besu
PUSH11,29.9663636363636,1.21295240440569,besu
PUSH12,33.53,1.27509847654415,besu
PUSH13,34.3,1.2286733496677,besu
PUSH14,37.2390909090909,1.44651479443006,besu
PUSH15,39.7445454545455,1.2834783646717,besu
PUSH16,41.4863636363636,1.98106219943154,besu
PUSH17,41.9518181818182,1.38966244390103,besu
PUSH18,43.2772727272727,1.37207540211568,besu
PUSH19,44.6827272727273,1.39417847093384,besu
PUSH20,48.4554545454546,1.6071396889499,besu
PUSH21,49.5118181818182,1.39844499106011,besu
PUSH22,50.8481818181818,1.51429221087219,besu
PUSH23,54.1654545454545,1.21910623752217,besu
PUSH24,53.3327272727273,1.51085949668816,besu
PUSH25,54.7490909090909,1.29669934877054,besu
PUSH26,59.8645454545454,0.61050484159928,besu
PUSH27,60.8009090909091,0.459116310928414,besu
PUSH28,60.7072727272727,0.422254650535657,besu
PUSH29,66.4118181818182,1.11965456925501,besu
PUSH30,67.0154545454545,1.20163230733041,besu
PUSH31,68.0618181818182,1.22157435036933,besu
PUSH32,71.51,1.45101019242195,besu
DUP1,7.88363636363636,2.54141266400047,besu
DUP2,6.15090909090907,1.80080851140975,besu
DUP3,8.04545454545453,1.83309690436422,besu
DUP4,6.31545454545456,1.82820748491444,besu
DUP5,7.14818181818182,1.94853836111069,besu
DUP6,6.90363636363637,1.94980312631942,besu
DUP7,4.99818181818178,1.05230849471248,besu
DUP8,4.6672727272727,0.849268253060566,besu
DUP9,6.10090909090907,1.95761185349964,besu
DUP10,6.82909090909091,1.83446086038956,besu
DUP11,4.39636363636368,0.97866140471936,besu
DUP12,7.97818181818183,2.0810828395631,besu
DUP13,5.16,0.574948714125977,besu
DUP14,4.29181818181819,1.0724455630785,besu
DUP15,6.82727272727274,1.60443828869242,besu
DUP16,4.51818181818181,1.14624712037735,besu
SWAP1,9.44454545454545,1.35844192471004,besu
SWAP2,9.88454545454547,1.14638214004724,besu
SWAP3,10.1654545454546,1.23998563337748,besu
SWAP4,9.96090909090909,1.23226038505084,besu
SWAP5,10.0654545454545,1.17733477469969,besu
SWAP6,11.9063636363636,1.34389791880247,besu
SWAP7,14.2018181818182,1.35700258462996,besu
SWAP8,10.4345454545455,1.28700776249262,besu
SWAP9,10.2236363636364,1.26205933130705,besu
SWAP10,14.8545454545455,1.50188739537724,besu
SWAP11,10.3081818181818,1.25454322207385,besu
SWAP12,11.8709090909091,1.44710902073974,besu
SWAP13,11.9181818181818,1.33903532838084,besu
SWAP14,10.7909090909091,1.34069798029987,besu
SWAP15,14.1227272727273,1.72375652204454,besu
SWAP16,13.9272727272727,1.52936184678519,besu
