geth_gas,evmone_gas,besu_gas,nethermind_gas,ethereumjs_gas,erigon_gas,revm_gas,geth_gas_stderr,evmone_gas_stderr,besu_gas_stderr,nethermind_gas_stderr,ethereumjs_gas_stderr,erigon_gas_stderr,revm_gas_stderr,opcode,constant_current_gas,alternative_gas,alternative_gas_stderr,alternative_gas_rel_stderr,alternative_gas_rel_diff,gas diff %,gas std err %
2.444944554,1.557589839,0.769800079,1.670460999,6.783822511,3.878928939,1.418809636,0.017310515,0.082610052,0.030809166,0.114933822,0.045467975,0.139458677,0.077581368,PUSH3,3,2.646336651,0.784440151,0.296424928,0.117887783,-11.79%,29.64%
2.398160281,1.599263575,0.819653779,1.713820389,7.002459289,4.269154542,1.384973631,0.020757482,0.076682629,0.029537232,0.109208986,0.049293517,0.211572546,0.073249862,PUSH4,3,2.741069355,0.823781488,0.300532887,0.086310215,-8.63%,30.05%
2.453645198,1.317764472,0.753296224,1.700152744,7.237949321,5.165729151,1.420643883,0.016164667,0.104773236,0.02893024,0.11680304,0.036114304,0.219961807,0.074647943,PUSH5,3,2.864168713,0.911324424,0.318181125,0.045277096,-4.53%,31.82%
2.490683969,1.115856103,0.782069275,1.668572553,7.523103899,5.288044534,1.413384947,0.024623608,0.12847517,0.024811817,0.110161233,0.030310404,0.214094501,0.072259889,PUSH6,3,2.897387897,0.959148631,0.331039083,0.034204034,-3.42%,33.10%
2.667616602,1.060430861,0.758713982,1.792888655,7.735904516,6.081427447,1.514971015,0.01947437,0.124032245,0.035641757,0.126604151,0.029653928,0.231100429,0.073343289,PUSH7,3,3.087421868,1.028506635,0.333127988,0.029140623,2.91%,33.31%
2.610061497,1.172539195,0.765193205,1.393283998,7.9248213,6.604590055,1.334668429,0.018957262,0.111237839,0.025498902,0.111465457,0.025250945,0.222566644,0.075783964,PUSH8,3,3.115022526,1.101894635,0.353735688,0.038340842,3.83%,35.37%
2.594881753,1.094953768,0.750023487,1.557098096,8.183658133,6.971786263,1.394925397,0.02161547,0.116993072,0.02129402,0.110441625,0.03591868,0.209095911,0.072326964,PUSH9,3,3.221046699,1.152815527,0.357900905,0.073682233,7.37%,35.79%
2.592362375,1.14054904,0.758110007,1.362854283,8.361526177,7.502033923,1.413033709,0.023467613,0.121639471,0.021196743,0.111477675,0.034271395,0.264260384,0.080734618,PUSH10,3,3.304352788,1.217084369,0.368327611,0.101450929,10.15%,36.83%
2.617546395,1.222627396,0.787347297,1.57668983,8.54094946,7.860287485,1.520005438,0.020696678,0.112682279,0.024441224,0.119902485,0.028140737,0.228842285,0.071537129,PUSH11,3,3.446493329,1.247343589,0.361916728,0.14883111,14.88%,36.19%
2.682190914,1.202994924,0.757090946,1.597088064,8.749413774,8.443452743,1.310432951,0.016093013,0.099412008,0.033663832,0.11829566,0.035927204,0.217430687,0.069600922,PUSH12,3,3.534666331,1.326196939,0.375197208,0.17822211,17.82%,37.52%
2.60861139,1.350068882,0.779092856,1.3026095,8.953938806,8.666625922,1.517429686,0.018420166,0.099790097,0.017714562,0.120350874,0.033854301,0.215313515,0.069892684,PUSH13,3,3.596911006,1.362359236,0.378758116,0.198970335,19.90%,37.88%
2.656679765,1.397145076,0.776522276,1.379849478,9.173191734,9.260091297,1.54182127,0.022302928,0.105863304,0.028389068,0.105361885,0.030283346,0.236582237,0.072782342,PUSH14,3,3.740757271,1.429602248,0.382169209,0.24691909,24.69%,38.22%
2.670985538,1.59903306,0.753320799,1.422814436,9.383420106,9.587932721,1.707762092,0.021962707,0.095068374,0.041012413,0.129256063,0.028889361,0.23319946,0.074642638,PUSH15,3,3.875038393,1.464378496,0.377900384,0.291679464,29.17%,37.79%
2.698835412,1.641475341,0.765969801,1.34804468,9.622285296,9.71654725,1.386690798,0.017117347,0.107534939,0.028707924,0.114084347,0.029486305,0.225587098,0.071444581,PUSH16,3,3.882835511,1.510044015,0.388902391,0.294278504,29.43%,38.89%
2.608328204,1.710167764,0.801737205,1.353433275,9.822748774,10.45872727,1.527147293,0.022404073,0.100145976,0.030545977,0.120215522,0.02381199,0.217971758,0.074761749,PUSH17,3,4.040327112,1.589672474,0.393451429,0.346775704,34.68%,39.35%
2.664213488,1.763904576,0.758706304,1.415785214,10.05828628,11.07771074,1.524571542,0.019742119,0.092672922,0.023219555,0.125753772,0.027402167,0.236752034,0.072691367,PUSH18,3,4.180454019,1.666656345,0.39867831,0.393484673,39.35%,39.87%
2.763992595,1.786577572,0.760735396,1.384280304,10.22137248,11.37404452,1.685282808,0.019744429,0.092836973,0.033315702,0.117546832,0.033769257,0.219847454,0.062831164,PUSH19,3,4.282326525,1.701845943,0.397411532,0.427442175,42.74%,39.74%
2.670746295,1.731190109,0.788859246,1.174797883,10.48039128,11.95326834,1.536396582,0.024176846,0.100716335,0.035739064,0.129658822,0.027171569,0.20550947,0.071401126,PUSH20,3,4.333664248,1.797800065,0.414845259,0.444554749,44.46%,41.48%
2.667562894,1.660320519,0.76332325,1.04533764,10.6694289,12.37294156,1.653476183,0.023743,0.10233473,0.031215105,0.123905026,0.027958212,0.227281655,0.066079286,PUSH21,3,4.404627278,1.860639537,0.422428373,0.468209093,46.82%,42.24%
2.665897956,1.662633845,0.78544098,1.188156673,10.91733375,12.8044629,1.671155203,0.020112084,0.103999389,0.026421363,0.138165725,0.031516941,0.248190768,0.070343026,PUSH22,3,4.527868757,1.916867699,0.423348777,0.509289586,50.93%,42.33%
2.764549202,1.665290826,0.743509979,1.388713213,11.06593564,13.26397912,1.689809886,0.020461133,0.132680702,0.0169644,0.130255911,0.031077197,0.223855517,0.069904511,PUSH23,3,4.654541123,1.966913928,0.422579558,0.551513708,55.15%,42.26%
2.688552833,1.833913393,0.791433152,1.071874175,11.3087274,13.58400912,1.557002592,0.017328338,0.160242713,0.028564676,0.124648839,0.029061471,0.22044695,0.071860959,PUSH24,3,4.690787524,2.030595142,0.432890028,0.563595841,56.36%,43.29%
2.695481123,1.775793411,0.771007978,1.148852182,11.47588068,13.83960683,1.616830268,0.018942289,0.17267614,0.029856765,0.11878242,0.034399702,0.212886592,0.066392821,PUSH25,3,4.76049321,2.067561255,0.434316606,0.58683107,58.68%,43.43%
2.654731641,1.965467677,0.71602292,1.189480934,11.75322358,14.76435494,1.743354291,0.02026281,0.198315122,0.026682825,0.093549353,0.032926011,0.200395387,0.065221293,PUSH26,3,4.969519426,2.177422456,0.438155538,0.656506475,65.65%,43.82%
2.73375517,1.56804809,0.81477869,1.277393636,11.89265107,14.9661777,1.772897377,0.014905278,0.20035903,0.050202256,0.124451638,0.036557949,0.201839567,0.067235536,PUSH27,3,5.003671677,2.21217125,0.442109593,0.667890559,66.79%,44.21%
2.701794217,1.792864157,0.723894705,1.355803784,12.04102089,15.30531949,1.700854395,0.02126062,0.224961375,0.028146313,0.118371635,0.032555378,0.217981607,0.070486208,PUSH28,3,5.08879309,2.255878405,0.443303228,0.696264363,69.63%,44.33%
2.752875105,1.527027913,0.806898157,1.06217047,12.21673984,16.04866645,1.785112682,0.022062742,0.223416732,0.019229823,0.115472925,0.034932208,0.216448415,0.070776198,PUSH29,3,5.171355803,2.362827377,0.456906751,0.723785268,72.38%,45.69%
2.781125346,1.575011139,0.806588939,0.930236813,12.41289986,16.35651493,1.791591086,0.019904027,0.215536833,0.020674386,0.127706174,0.028990624,0.223941394,0.073448108,PUSH30,3,5.236281159,2.413386399,0.460897023,0.745427053,74.54%,46.09%
2.802745129,1.691689344,0.801410913,1.200238985,12.66831982,16.89438349,1.892982021,0.017640206,0.217982518,0.032260772,0.11357076,0.028037407,0.229945112,0.075618034,PUSH31,3,5.421681386,2.471396002,0.455835713,0.807227129,80.72%,45.58%
2.939416531,1.452365546,0.729584869,0.916490184,12.81064058,17.37160638,1.722279962,0.019233069,0.221036749,0.026666023,0.122574552,0.029615253,0.250502819,0.066703959,PUSH32,3,5.420340579,2.560285551,0.472347727,0.806780193,80.68%,47.23%
1.854301649,0.593008718,0.74163431,0.805507095,1.62863072,2.048270623,1.371977795,0.025083223,0.054188836,0.012860766,0.160757276,0.103788079,0.222163612,0.073533359,DUP1,3,1.291904416,0.220173718,0.170425703,0.569365195,-56.94%,17.04%
1.801048042,0.54735536,0.747804188,0.601417898,1.572019985,2.221205426,1.418224238,0.027666929,0.036598345,0.013152379,0.158783306,0.100075758,0.207399915,0.0801682,DUP2,3,1.27272502,0.246008327,0.193292599,0.575758327,-57.58%,19.33%
1.788094726,0.495770183,0.753974046,0.650713823,1.565802866,1.984838571,1.422673262,0.042085484,0.059241118,0.033885893,0.152430084,0.108323755,0.210350353,0.079067088,DUP3,3,1.23740964,0.225305075,0.182078002,0.58753012,-58.75%,18.21%
1.789129819,0.549754067,0.756393744,0.524911031,1.551458085,2.015619846,1.366904346,0.03823985,0.055308504,0.015217593,0.161021918,0.108812391,0.218368087,0.08298099,DUP4,3,1.22202442,0.230715523,0.1887978,0.592658527,-59.27%,18.88%
